date,temperature,tmin,tmax,precipitation,snow,wdir,windSpeed,wpgt,pres,tsun
2023-01-01,10.9,8,12,2,,229,16.8,,1008.4,
2023-01-02,7,3,9,1.3,,243,10.4,,1017.4,
2023-01-03,9,3,13,2.8,,188,18.2,,1018.6,
2023-01-04,12.9,11,14,0.8,,244,28.4,,1014.4,
2023-01-05,11.8,10,14,0,,234,19,,1018.3,
2023-01-06,10.5,8,13,2.8,,226,19.1,,1013.8,
2023-01-07,10.8,8,13,3.8,,201,24.5,,1000.9,
2023-01-08,8.1,6,10,0.3,,209,19,,992.9,
2023-01-09,7.2,6,9,0.8,,255,22.8,,1001.8,
2023-01-10,9.5,5,13,6,,217,19.7,,1008.1,
2023-01-11,9.5,8,11,1.8,,244,23.5,,1008.5,
2023-01-12,11.5,9,13,4.7,,241,29.7,,1002.7,
2023-01-13,8.8,7,11,0,,250,28.1,,1008.7,
2023-01-14,9.5,7,12,9.4,,228,26,,1000.1,
2023-01-15,6,5,8,0,,238,21,,997.9,
2023-01-16,3.5,0,5,9.6,,325,17.3,,986,
2023-01-17,-0.1,-2,2,0,,268,6.8,,989.8,
2023-01-18,1.7,-1,5,0,,255,14.2,,998.3,
2023-01-19,2.1,0,5,0,,255,11.5,,1008.1,
2023-01-20,3.5,1,6,0,,283,14.2,,1019.3,
2023-01-21,2.8,0,6,0,,37,4.8,,1032.8,
2023-01-22,0.7,-2,5,0,,300,3,,1035.8,
2023-01-23,0.7,-3,4,0,,327,4,,1038,
2023-01-24,3.9,2,5,0,,51,8.1,,1039.2,
2023-01-25,2.4,0,6,1.9,,264,8.6,,1032.6,
2023-01-26,5.4,3,7,0.1,,355,12,,1030.2,
2023-01-27,5.2,3,7,0,,14,9.4,,1030.8,
2023-01-28,4.8,3,6,0,,298,5.8,,1031.9,
2023-01-29,6.7,5,9,0,,242,14.7,,1026.2,
2023-01-30,7.5,5,9,0,,267,17.2,,1024.8,
2023-01-31,7.8,4,11,0,,258,19.2,,1024.5,
2023-02-01,8.1,6,11,0,,253,25.7,,1024.5,
2023-02-02,9.6,7,12,0,,248,21.7,,1027,
2023-02-03,10.5,7.2,13,0,,260,18.7,,1031.1,
2023-02-04,9.3,9,10,0.1,,258,12.3,,1038.1,
2023-02-05,6.5,4,9,0,,338,10.2,,1044.6,
2023-02-06,5.7,3,10,0,,330,4.1,,1041.8,
2023-02-07,2.9,0,8,0,,90,4.2,,1039,
2023-02-08,2.1,-2,8,0,,114,6.3,,1034.6,
2023-02-09,5.2,2,9,0,,266,8.2,,1033,
2023-02-10,5.6,1,9,0,,239,12.7,,1036.5,
2023-02-11,8.9,8,10,0,,239,9.5,,1036.8,
2023-02-12,8.2,7,9,0,,126,7.6,,1037.5,
2023-02-13,7.3,4,12,0,,111,9.2,,1034.3,
2023-02-14,6.8,2,14,0,,93,4,,1030.6,
2023-02-15,8.8,3,15,0,,213,10.1,,1023.3,
2023-02-16,10.6,9,13,3,,232,16.2,,1020,
2023-02-17,12.8,11,15,0,,247,24.5,,1021.3,
2023-02-18,11.9,11,13,0.2,,252,25.3,,1021,
2023-02-19,10.4,8,13,0,,263,17.7,,1026.1,
2023-02-20,9.5,7,12,0,,245,19.1,,1023.7,
2023-02-21,8.8,7,10,0,,223,10.3,,1017.6,
2023-02-22,7.9,7,10,1.9,,268,8.8,,1011.9,
2023-02-23,6.5,3,8,0.3,,17,12.2,,1018.3,
2023-02-24,5.3,2,10,0.7,,303,10.6,,1013.8,
2023-02-25,5.2,4,8,0,,10,13.2,,1017.6,
2023-02-26,4.5,3,7,0,,44,13.7,,1027.4,
2023-02-27,4.5,1,8,0,,39,11.6,,1031.7,
2023-02-28,5,2,7,0.4,,22,10.9,,1032.6,
